Jurisdiction Name,Batch Name,Ballots in Batch,Ticket Numbers: US Senate - Rep,Ticket Numbers: Governor - Dem,Audited?,Reported Results: US Senate - Rep,Audit Results: US Senate - Rep,Change in Results: US Senate - Rep,Change in Margin: US Senate - Rep,Reported Results: Governor - Dem,Audit Results: Governor - Dem,Change in Results: Governor - Dem,Change in Margin: Governor - Dem,Combined Batch
BARTOW,ED-Emerson ICP 1 - 0,580,Round 1: 0.9840098460383818005,,Yes,"Earl L. ""Buddy"" Carter: 121; Mike Collins: 148; John F. Coyne III: 3; Derek Dooley: 172; Jonathan ""Jon"" McColumn: 8","Earl L. ""Buddy"" Carter: 121; Mike Collins: 148; John F. Coyne III: 3; Derek Dooley: 172; Jonathan ""Jon"" McColumn: 8",,,"Keisha Lance Bottoms: 29; Olu Brown: 2; Amanda Duffy: 2; Geoff Duncan: 14; Jason Esteves: 26; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 11","Keisha Lance Bottoms: 30; Olu Brown: 2; Amanda Duffy: 2; Geoff Duncan: 13; Jason Esteves: 26; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 11",Keisha Lance Bottoms: -1; Geoff Duncan: +1,-1,
BARTOW,ED-Hamilton Crossing ICP 2 - 0,910,"Round 1: 0.854501807041964803, 0.9878207484439920363",,Yes,"Earl L. ""Buddy"" Carter: 163; Mike Collins: 253; John F. Coyne III: 8; Derek Dooley: 203; Jonathan ""Jon"" McColumn: 28","Earl L. ""Buddy"" Carter: 163; Mike Collins: 254; John F. Coyne III: 8; Derek Dooley: 202; Jonathan ""Jon"" McColumn: 28",Mike Collins: -1; Derek Dooley: +1,1,"Keisha Lance Bottoms: 112; Olu Brown: 0; Amanda Duffy: 7; Geoff Duncan: 18; Jason Esteves: 58; Derrick Jackson: 8; Michael ""Mike"" Thurmond: 14","Keisha Lance Bottoms: 112; Olu Brown: 0; Amanda Duffy: 7; Geoff Duncan: 18; Jason Esteves: 58; Derrick Jackson: 9; Michael ""Mike"" Thurmond: 14",Derrick Jackson: -1,1,
BARTOW,ED-White ICP 1 - 0,461,Round 1: 0.812224503313929684,,Yes,"Earl L. ""Buddy"" Carter: 84; Mike Collins: 160; John F. Coyne III: 6; Derek Dooley: 133; Jonathan ""Jon"" McColumn: 6","Earl L. ""Buddy"" Carter: 84; Mike Collins: 160; John F. Coyne III: 6; Derek Dooley: 133; Jonathan ""Jon"" McColumn: 6",,,"Keisha Lance Bottoms: 31; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 5; Jason Esteves: 15; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 6","Keisha Lance Bottoms: 31; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 5; Jason Esteves: 15; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 6",,,
BARTOW,ICC-Absentee by Mail - 8,25,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 6; Mike Collins: 2; John F. Coyne III: 0; Derek Dooley: 6; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 6; Mike Collins: 2; John F. Coyne III: 0; Derek Dooley: 6; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2",,,
BARTOW,ICC-Absentee by Mail - 9,25,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 14; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 7; Jason Esteves: 4; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 14; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 7; Jason Esteves: 4; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
BEN HILL,absicp - 0,25,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 5; Mike Collins: 5; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 5; Mike Collins: 5; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 9; Olu Brown: 2; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 9; Olu Brown: 2; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 2",,,
BEN HILL,AV-Election Office ICP 4 - 0,231,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 32; Mike Collins: 69; John F. Coyne III: 1; Derek Dooley: 33; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 32; Mike Collins: 69; John F. Coyne III: 1; Derek Dooley: 33; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 47; Olu Brown: 8; Amanda Duffy: 4; Geoff Duncan: 4; Jason Esteves: 7; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 14","Keisha Lance Bottoms: 47; Olu Brown: 8; Amanda Duffy: 4; Geoff Duncan: 4; Jason Esteves: 7; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 14",,,
BEN HILL,ED-East ICP 4 - 0,265,,Round 1: 0.854104525356998049,Yes,"Earl L. ""Buddy"" Carter: 44; Mike Collins: 71; John F. Coyne III: 4; Derek Dooley: 34; Jonathan ""Jon"" McColumn: 3","Earl L. ""Buddy"" Carter: 44; Mike Collins: 71; John F. Coyne III: 4; Derek Dooley: 34; Jonathan ""Jon"" McColumn: 3",,,"Keisha Lance Bottoms: 48; Olu Brown: 10; Amanda Duffy: 1; Geoff Duncan: 5; Jason Esteves: 8; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 10","Keisha Lance Bottoms: 48; Olu Brown: 10; Amanda Duffy: 1; Geoff Duncan: 5; Jason Esteves: 8; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 10",,,
BERRIEN,Absentee By Mail ICC - 1,49,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 15; Mike Collins: 17; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 15; Mike Collins: 17; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 10; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 10; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 0",,,
BERRIEN,AV-Election Office ICP 1 - 0,1266,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 298; Mike Collins: 551; John F. Coyne III: 11; Derek Dooley: 192; Jonathan ""Jon"" McColumn: 24","Earl L. ""Buddy"" Carter: 298; Mike Collins: 551; John F. Coyne III: 11; Derek Dooley: 192; Jonathan ""Jon"" McColumn: 24",,,"Keisha Lance Bottoms: 87; Olu Brown: 3; Amanda Duffy: 6; Geoff Duncan: 14; Jason Esteves: 11; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 10","Keisha Lance Bottoms: 87; Olu Brown: 3; Amanda Duffy: 6; Geoff Duncan: 14; Jason Esteves: 11; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 10",,,
