Jurisdiction Name,Batch Name,Ballots in Batch,Ticket Numbers: US Senate - Rep,Ticket Numbers: Governor - Dem,Audited?,Reported Results: US Senate - Rep,Audit Results: US Senate - Rep,Change in Results: US Senate - Rep,Change in Margin: US Senate - Rep,Reported Results: Governor - Dem,Audit Results: Governor - Dem,Change in Results: Governor - Dem,Change in Margin: Governor - Dem,Combined Batch
PUTNAM,ICC-Absentee by Mail - 4,25,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 4; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 4; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 6; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 3; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4","Keisha Lance Bottoms: 6; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 3; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4",,,
PUTNAM,ICC-Election Day - 4,65,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 7; Mike Collins: 32; John F. Coyne III: 1; Derek Dooley: 17; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 7; Mike Collins: 32; John F. Coyne III: 1; Derek Dooley: 17; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 4; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 4; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
PUTNAM,ICC-Election Day - 12,46,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 8; Mike Collins: 19; John F. Coyne III: 0; Derek Dooley: 13; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 8; Mike Collins: 19; John F. Coyne III: 0; Derek Dooley: 13; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
PUTNAM,ICC-Provisional - 1,3,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 0",,,
QUITMAN,Absentee By Mail ICC - 2,1,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
QUITMAN,AV-Elections Office ICP 2 - 0,191,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 26; Mike Collins: 33; John F. Coyne III: 2; Derek Dooley: 30; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 26; Mike Collins: 33; John F. Coyne III: 2; Derek Dooley: 30; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 50; Olu Brown: 2; Amanda Duffy: 6; Geoff Duncan: 2; Jason Esteves: 8; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 8","Keisha Lance Bottoms: 50; Olu Brown: 2; Amanda Duffy: 6; Geoff Duncan: 2; Jason Esteves: 8; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 8",,,
QUITMAN,ED-Georgetown ICP 1 - 0,202,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 22; Mike Collins: 34; John F. Coyne III: 1; Derek Dooley: 47; Jonathan ""Jon"" McColumn: 4","Earl L. ""Buddy"" Carter: 22; Mike Collins: 34; John F. Coyne III: 1; Derek Dooley: 47; Jonathan ""Jon"" McColumn: 4",,,"Keisha Lance Bottoms: 66; Olu Brown: 2; Amanda Duffy: 1; Geoff Duncan: 2; Jason Esteves: 3; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 6","Keisha Lance Bottoms: 66; Olu Brown: 2; Amanda Duffy: 1; Geoff Duncan: 2; Jason Esteves: 3; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 6",,,
RABUN,AV-Elections Office ICP 2 - 0,1349,Round 1: 0.118821597771086950,,Yes,"Earl L. ""Buddy"" Carter: 184; Mike Collins: 335; John F. Coyne III: 8; Derek Dooley: 496; Jonathan ""Jon"" McColumn: 43","Earl L. ""Buddy"" Carter: 184; Mike Collins: 335; John F. Coyne III: 8; Derek Dooley: 496; Jonathan ""Jon"" McColumn: 43",,,"Keisha Lance Bottoms: 85; Olu Brown: 3; Amanda Duffy: 6; Geoff Duncan: 71; Jason Esteves: 40; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 40","Keisha Lance Bottoms: 85; Olu Brown: 3; Amanda Duffy: 6; Geoff Duncan: 71; Jason Esteves: 40; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 40",,,
RABUN,ICC-Absentee by Mail - 2,25,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 6; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 8; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 6; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 8; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1",,,
RABUN,ICC-Absentee by Mail - 3,25,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 11; Mike Collins: 7; John F. Coyne III: 2; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 11; Mike Collins: 7; John F. Coyne III: 2; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
RABUN,All ED ICC,736,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 94; Mike Collins: 182; John F. Coyne III: 3; Derek Dooley: 297; Jonathan ""Jon"" McColumn: 12","Earl L. ""Buddy"" Carter: 94; Mike Collins: 182; John F. Coyne III: 3; Derek Dooley: 297; Jonathan ""Jon"" McColumn: 12",,,"Keisha Lance Bottoms: 41; Olu Brown: 2; Amanda Duffy: 2; Geoff Duncan: 16; Jason Esteves: 26; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 17","Keisha Lance Bottoms: 41; Olu Brown: 2; Amanda Duffy: 2; Geoff Duncan: 16; Jason Esteves: 26; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 17",,,"Combines ICC-Election Day - 1, ICC-Election Day - 10, ICC-Election Day - 11, ICC-Election Day - 12, ICC-Election Day - 13, ICC-Election Day - 14, ICC-Election Day - 15, ICC-Election Day - 16, ICC-Election Day - 17, ICC-Election Day - 18, ICC-Election Day - 19, ICC-Election Day - 2, ICC-Election Day - 20, ICC-Election Day - 21, ICC-Election Day - 22, ICC-Election Day - 23, ICC-Election Day - 24, ICC-Election Day - 3, ICC-Election Day - 4, ICC-Election Day - 5, ICC-Election Day - 6, ICC-Election Day - 7, ICC-Election Day - 8, ICC-Election Day - 9"
RANDOLPH,Absentee By Mail ICC - 3,2,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2",,,
RANDOLPH,Absentee By Mail ICC - 5,2,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
RANDOLPH,AV-Elections Office ICP 1 - 0,489,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 37; Mike Collins: 72; John F. Coyne III: 1; Derek Dooley: 49; Jonathan ""Jon"" McColumn: 4","Earl L. ""Buddy"" Carter: 37; Mike Collins: 72; John F. Coyne III: 1; Derek Dooley: 49; Jonathan ""Jon"" McColumn: 4",,,"Keisha Lance Bottoms: 181; Olu Brown: 9; Amanda Duffy: 7; Geoff Duncan: 8; Jason Esteves: 12; Derrick Jackson: 22; Michael ""Mike"" Thurmond: 56","Keisha Lance Bottoms: 181; Olu Brown: 9; Amanda Duffy: 7; Geoff Duncan: 8; Jason Esteves: 12; Derrick Jackson: 22; Michael ""Mike"" Thurmond: 56",,,
RANDOLPH,ED-Springvale ICP 1 - 0,36,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 22; Olu Brown: 2; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 22; Olu Brown: 2; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 2",,,
RICHMOND,AV-Warren Road Rec Center ICP 1 - 0,2029,Round 1: 0.104010585367279547,,Yes,"Earl L. ""Buddy"" Carter: 213; Mike Collins: 341; John F. Coyne III: 7; Derek Dooley: 249; Jonathan ""Jon"" McColumn: 30","Earl L. ""Buddy"" Carter: 213; Mike Collins: 341; John F. Coyne III: 7; Derek Dooley: 249; Jonathan ""Jon"" McColumn: 30",,,"Keisha Lance Bottoms: 743; Olu Brown: 13; Amanda Duffy: 20; Geoff Duncan: 62; Jason Esteves: 94; Derrick Jackson: 22; Michael ""Mike"" Thurmond: 143","Keisha Lance Bottoms: 743; Olu Brown: 13; Amanda Duffy: 20; Geoff Duncan: 62; Jason Esteves: 94; Derrick Jackson: 22; Michael ""Mike"" Thurmond: 143",,,
RICHMOND,AV-Warren Road Rec Center ICP 2 - 0,2237,Round 1: 0.045667094604428392,,Yes,"Earl L. ""Buddy"" Carter: 221; Mike Collins: 393; John F. Coyne III: 14; Derek Dooley: 264; Jonathan ""Jon"" McColumn: 31","Earl L. ""Buddy"" Carter: 221; Mike Collins: 393; John F. Coyne III: 14; Derek Dooley: 264; Jonathan ""Jon"" McColumn: 31",,,"Keisha Lance Bottoms: 806; Olu Brown: 13; Amanda Duffy: 20; Geoff Duncan: 76; Jason Esteves: 100; Derrick Jackson: 30; Michael ""Mike"" Thurmond: 153","Keisha Lance Bottoms: 806; Olu Brown: 13; Amanda Duffy: 20; Geoff Duncan: 76; Jason Esteves: 100; Derrick Jackson: 30; Michael ""Mike"" Thurmond: 153",,,
RICHMOND,ED-Brothersville Event Ctr  ICP 1 - 0,704,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 91; Mike Collins: 171; John F. Coyne III: 7; Derek Dooley: 83; Jonathan ""Jon"" McColumn: 11","Earl L. ""Buddy"" Carter: 91; Mike Collins: 171; John F. Coyne III: 7; Derek Dooley: 83; Jonathan ""Jon"" McColumn: 11",,,"Keisha Lance Bottoms: 212; Olu Brown: 2; Amanda Duffy: 8; Geoff Duncan: 12; Jason Esteves: 25; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 25","Keisha Lance Bottoms: 212; Olu Brown: 2; Amanda Duffy: 8; Geoff Duncan: 12; Jason Esteves: 25; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 25",,,
RICHMOND,ED-Sharon Baptist  ICP 1 - 0,648,Round 1: 0.556271840737750045,,Yes,"Earl L. ""Buddy"" Carter: 7; Mike Collins: 25; John F. Coyne III: 2; Derek Dooley: 12; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 7; Mike Collins: 25; John F. Coyne III: 2; Derek Dooley: 12; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 415; Olu Brown: 9; Amanda Duffy: 12; Geoff Duncan: 21; Jason Esteves: 28; Derrick Jackson: 22; Michael ""Mike"" Thurmond: 47","Keisha Lance Bottoms: 415; Olu Brown: 9; Amanda Duffy: 12; Geoff Duncan: 21; Jason Esteves: 28; Derrick Jackson: 22; Michael ""Mike"" Thurmond: 47",,,
RICHMOND,ICC-Absentee by Mail 2 - 3,94,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 6; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 6; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 28; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 4; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 28; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 4; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2",,,
RICHMOND,ICC-Absentee by Mail 4 - 6,99,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 7; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 7; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 1","Jonathan ""Jon"" McColumn: -1",1,"Keisha Lance Bottoms: 26; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 10","Keisha Lance Bottoms: 26; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 10",,,
ROCKDALE,AV-Main ICP 4 - 0,2996,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 94; Mike Collins: 130; John F. Coyne III: 2; Derek Dooley: 150; Jonathan ""Jon"" McColumn: 12","Earl L. ""Buddy"" Carter: 94; Mike Collins: 130; John F. Coyne III: 2; Derek Dooley: 150; Jonathan ""Jon"" McColumn: 12",,,"Keisha Lance Bottoms: 1578; Olu Brown: 23; Amanda Duffy: 24; Geoff Duncan: 80; Jason Esteves: 237; Derrick Jackson: 39; Michael ""Mike"" Thurmond: 545","Keisha Lance Bottoms: 1574; Olu Brown: 23; Amanda Duffy: 24; Geoff Duncan: 80; Jason Esteves: 237; Derrick Jackson: 39; Michael ""Mike"" Thurmond: 545",Keisha Lance Bottoms: +4,4,
ROCKDALE,ED-SP ICP 1 - 0,693,Round 1: 0.129059308049097657,,Yes,"Earl L. ""Buddy"" Carter: 15; Mike Collins: 29; John F. Coyne III: 3; Derek Dooley: 37; Jonathan ""Jon"" McColumn: 4","Earl L. ""Buddy"" Carter: 15; Mike Collins: 29; John F. Coyne III: 3; Derek Dooley: 37; Jonathan ""Jon"" McColumn: 4",,,"Keisha Lance Bottoms: 409; Olu Brown: 11; Amanda Duffy: 6; Geoff Duncan: 27; Jason Esteves: 56; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 65","Keisha Lance Bottoms: 407; Olu Brown: 11; Amanda Duffy: 6; Geoff Duncan: 27; Jason Esteves: 56; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 65",Keisha Lance Bottoms: +2,2,
ROCKDALE,ICC-Absentee by Mail - 4,42,,Round 1: 0.810621837918994565,Yes,"Earl L. ""Buddy"" Carter: 3; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 3; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 17; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 7; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 11","Keisha Lance Bottoms: 17; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 7; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 11",,,
ROCKDALE,ICC-Absentee by Mail - 10,1,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
SCHLEY,AV-County Courthouse Annex ICP 1 - 0,502,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 66; Mike Collins: 199; John F. Coyne III: 2; Derek Dooley: 104; Jonathan ""Jon"" McColumn: 8","Earl L. ""Buddy"" Carter: 66; Mike Collins: 199; John F. Coyne III: 2; Derek Dooley: 104; Jonathan ""Jon"" McColumn: 8",,,"Keisha Lance Bottoms: 64; Olu Brown: 0; Amanda Duffy: 4; Geoff Duncan: 7; Jason Esteves: 8; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 6","Keisha Lance Bottoms: 64; Olu Brown: 0; Amanda Duffy: 4; Geoff Duncan: 7; Jason Esteves: 8; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 6",,,
SCHLEY,ICC-Absentee by Mail - 1,16,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 2; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 2; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1",,,
SCREVEN,AV-Elections Office ICP 2 - 0,308,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 86; Mike Collins: 43; John F. Coyne III: 1; Derek Dooley: 32; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 86; Mike Collins: 42; John F. Coyne III: 1; Derek Dooley: 32; Jonathan ""Jon"" McColumn: 2",Mike Collins: +1,1,"Keisha Lance Bottoms: 65; Olu Brown: 3; Amanda Duffy: 2; Geoff Duncan: 14; Jason Esteves: 13; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 23","Keisha Lance Bottoms: 65; Olu Brown: 3; Amanda Duffy: 2; Geoff Duncan: 14; Jason Esteves: 13; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 23",,,
SCREVEN,ED-Hiltonia ICP 1 - 0,195,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 56; Mike Collins: 31; John F. Coyne III: 0; Derek Dooley: 20; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 56; Mike Collins: 31; John F. Coyne III: 0; Derek Dooley: 20; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 45; Olu Brown: 2; Amanda Duffy: 4; Geoff Duncan: 5; Jason Esteves: 9; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 7","Keisha Lance Bottoms: 45; Olu Brown: 2; Amanda Duffy: 4; Geoff Duncan: 5; Jason Esteves: 9; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 7",,,
SCREVEN,ICC-Absentee by Mail - 3,20,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 5; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 5; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4","Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4",,,
SCREVEN,ICC-Absentee by Mail - 4,20,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 5; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 5; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 8; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 3","Keisha Lance Bottoms: 8; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 3",,,
SEMINOLE,Absentee By Mail ICC - 1,14,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 3; Mike Collins: 4; John F. Coyne III: 1; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 3; Mike Collins: 4; John F. Coyne III: 1; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
SEMINOLE,AV-Elections Office ICP 1 - 0,404,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 44; Mike Collins: 127; John F. Coyne III: 0; Derek Dooley: 75; Jonathan ""Jon"" McColumn: 8","Earl L. ""Buddy"" Carter: 44; Mike Collins: 127; John F. Coyne III: 0; Derek Dooley: 75; Jonathan ""Jon"" McColumn: 8",,,"Keisha Lance Bottoms: 53; Olu Brown: 4; Amanda Duffy: 11; Geoff Duncan: 6; Jason Esteves: 10; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 31","Keisha Lance Bottoms: 53; Olu Brown: 4; Amanda Duffy: 11; Geoff Duncan: 6; Jason Esteves: 10; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 31",,,
SEMINOLE,Provisional ICC - 1,1,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
SPALDING,AV-Elections Office ICP 1 - 0,2495,Round 1: 0.546253874110582947,,Yes,"Earl L. ""Buddy"" Carter: 313; Mike Collins: 621; John F. Coyne III: 6; Derek Dooley: 359; Jonathan ""Jon"" McColumn: 30","Earl L. ""Buddy"" Carter: 313; Mike Collins: 621; John F. Coyne III: 6; Derek Dooley: 359; Jonathan ""Jon"" McColumn: 30",,,"Keisha Lance Bottoms: 777; Olu Brown: 6; Amanda Duffy: 15; Geoff Duncan: 56; Jason Esteves: 71; Derrick Jackson: 20; Michael ""Mike"" Thurmond: 158","Keisha Lance Bottoms: 777; Olu Brown: 6; Amanda Duffy: 15; Geoff Duncan: 56; Jason Esteves: 71; Derrick Jackson: 20; Michael ""Mike"" Thurmond: 158",,,
